source,target,year,cmd_code,trade_value_usd,trade_qty_kg,share_of_reporter_total,distance_km,estimated_tariff_pct,tariff_methodology,is_placeholder_estimate
Canada,Australia,2024,2709,52.874,86.437,3.4889275189734846e-09,14151.619922548973,0.02,importer_default_high_income,True
Canada,Finland,2024,2709,31.319,51.199,2.06660591153933e-09,6245.501068218103,0.02,importer_default_high_income,True
Canada,Cuba,2024,2709,25.08,40.999,1.654921174411903e-09,4507.958454845781,0.02,importer_default_high_income,True
Canada,Ireland,2024,2709,21.935,35.86,1.447396170682819e-09,5795.153438412283,0.02,importer_default_high_income,True
Canada,Netherlands,2024,2709,16.929,27.675,1.1170717927280351e-09,6453.743494450375,0.02,importer_default_high_income,True
Canada,Thailand,2024,2709,10.229,16.722,6.749676512384115e-10,11611.668088184442,0.02,importer_default_high_income,True
Canada,Grenada,2024,2709,3.703,6.054,2.4434502028896643e-10,6206.826636999548,0.02,importer_default_high_income,True
Canada,Spain,2024,2709,1.465,2.395,9.666903989288032e-11,7059.688098020236,0.02,importer_default_high_income,True
Canada,India,2024,2709,1.457,2.381,9.614115435080316e-11,11469.106640505308,0.02,importer_default_high_income,True
Central African Rep.,United Arab Emirates,2024,2709,82.47,100.0,1.0,3981.505458401208,0.08,importer_default_low_income,True
Chile,Brazil,2024,2709,2412268321.78,4034194547.0,0.468213127516335,3084.1906201364864,0.02,importer_default_high_income,True
Chile,Argentina,2024,2709,2179988490.24,3751284281.456,0.4231283973466579,766.3006579312382,0.02,importer_default_high_income,True
Chile,Ecuador,2024,2709,559800080.73,1109578568.0,0.10865530348178,3825.131488472112,0.02,importer_default_high_income,True
Chile,USA,2024,2709,16340.6,10215.356,3.1716552269143416e-06,8466.838734529367,0.02,importer_default_high_income,True
China,Russian Federation,2024,2709,62589755078.0,108469240000.0,0.1924733528576507,2854.610013670282,0.04,importer_default_upper_middle_income,True
China,Saudi Arabia,2024,2709,47910307938.0,78637619000.0,0.147331741333346,5766.622139326701,0.04,importer_default_upper_middle_income,True
China,Malaysia,2024,2709,38348163667.0,70157360000.0,0.1179266419515966,3526.8084073085706,0.04,importer_default_upper_middle_income,True
China,Iraq,2024,2709,37030183310.0,63838060000.0,0.1138736448117902,5460.38162445548,0.04,importer_default_upper_middle_income,True
China,Oman,2024,2709,25045149223.0,40767880000.0,0.0770177777139982,4914.511189089187,0.04,importer_default_upper_middle_income,True
China,United Arab Emirates,2024,2709,22068408683.0,35532280000.0,0.067863831806923,5000.879969520662,0.04,importer_default_upper_middle_income,True
China,Brazil,2024,2709,21888253222.0,36837620000.0,0.0673098253953135,16632.85229863252,0.04,importer_default_upper_middle_income,True
China,Angola,2024,2709,17208631211.0,28721490000.0,0.0529192508126015,10407.97333453435,0.04,importer_default_upper_middle_income,True
China,Kuwait,2024,2709,9612844681.0,15970070000.0,0.02956101112628,5289.973410220332,0.04,importer_default_upper_middle_income,True
China,Qatar,2024,2709,6149954812.0,10177614000.0,0.0189120794787188,5142.898471049405,0.04,importer_default_upper_middle_income,True
China,USA,2024,2709,6019333900.0,9639382000.0,0.018510399605477,11647.263538539984,0.04,importer_default_upper_middle_income,True
China,Canada,2024,2709,4744004921.0,9170467000.0,0.0145885621693223,9385.849916760364,0.04,importer_default_upper_middle_income,True
China,Colombia,2024,2709,4289767779.0,8092141000.0,0.0131917114290652,15516.44153390127,0.04,importer_default_upper_middle_income,True
China,Congo,2024,2709,3923926991.0,6551079000.0,0.0120666933971094,9875.31068100486,0.04,importer_default_upper_middle_income,True
China,Ecuador,2024,2709,2985294954.0,5678949000.0,0.0091802520771865,16223.128645701743,0.04,importer_default_upper_middle_income,True
China,Gabon,2024,2709,1760804870.0,2879881000.0,0.0054147522487446,10292.92942573162,0.04,importer_default_upper_middle_income,True
China,Norway,2024,2709,1571220016.0,2523072000.0,0.0048317489688159,6891.09569125584,0.04,importer_default_upper_middle_income,True
China,Ghana,2024,2709,1266720123.0,1896222000.0,0.0038953638483203,10836.246524636625,0.04,importer_default_upper_middle_income,True
China,Kazakhstan,2024,2709,1248518281.0,2033079200.0,0.0038393903179309,3325.154201186019,0.04,importer_default_upper_middle_income,True
China,Libya,2024,2709,1138833599.0,1756156100.0,0.0035020926487619,8077.59232238596,0.04,importer_default_upper_middle_income,True
China,United Kingdom,2024,2709,1041635611.0,1583952000.0,0.0032031935299195,7779.554951337013,0.04,importer_default_upper_middle_income,True
China,Equatorial Guinea,2024,2709,778867564.0,1225518900.0,0.002395140407377,10253.591037076276,0.04,importer_default_upper_middle_income,True
China,Nigeria,2024,2709,768761843.0,1212117400.0,0.0023640637239567,9908.85346582871,0.04,importer_default_upper_middle_income,True
China,Cameroon,2024,2709,767672576.0,1296420500.0,0.0023607140564051,9693.143945744683,0.04,importer_default_upper_middle_income,True
China,Chad,2024,2709,744700015.0,1214666400.0,0.0022900698138468,8608.12650219706,0.04,importer_default_upper_middle_income,True
China,Venezuela,2024,2709,728570105.0,1498370000.0,0.0022404678006239,15215.557806741592,0.04,importer_default_upper_middle_income,True
China,Senegal,2024,2709,652629810.0,1177787000.0,0.0020069394352,11482.937122005684,0.04,importer_default_upper_middle_income,True
China,Mexico,2024,2709,584138654.0,1047573000.0,0.0017963183452151,12826.34165204892,0.04,importer_default_upper_middle_income,True
China,Australia,2024,2709,391884757.0,562152500.0,0.0012051073377679,7474.3568124730755,0.04,importer_default_upper_middle_income,True
China,Papua New Guinea,2024,2709,374786344.0,551921900.0,0.0011525270253101,6260.718314743079,0.04,importer_default_upper_middle_income,True
China,Mongolia,2024,2709,322198066.0,568697700.0,0.0009908097893974,1223.575727802236,0.04,importer_default_upper_middle_income,True
China,South Sudan,2024,2709,299964621.0,462716100.0,0.0009224384449275,8020.293192968637,0.04,importer_default_upper_middle_income,True
China,Guyana,2024,2709,278340288.0,452842600.0,0.0008559402157743,15157.2201393736,0.04,importer_default_upper_middle_income,True
China,Thailand,2024,2709,225824256.0,362811500.0,0.0006944451476881,2245.557384848367,0.04,importer_default_upper_middle_income,True
China,Dem. Rep. of the Congo,2024,2709,154086450.0,244260000.0,0.000473840097704,9592.18203222916,0.04,importer_default_upper_middle_income,True
China,Indonesia,2024,2709,92094578.0,147279903.0,0.0002832053294597,4198.131019705776,0.04,importer_default_upper_middle_income,True
China,Niger,2024,2709,88152135.0,149952166.0,0.0002710816964192,9401.737900765038,0.04,importer_default_upper_middle_income,True
China,New Zealand,2024,2709,22073972.0,35493200.0,6.78809398827522e-05,11167.189644340771,0.04,importer_default_upper_middle_income,True
China,Mozambique,2024,2709,21700234.0,30530416.0,6.673163668032446e-05,9421.599931994877,0.04,importer_default_upper_middle_income,True
China,Viet Nam,2024,2709,18904964.0,25504000.0,5.813574125986907e-05,2458.4064995643357,0.04,importer_default_upper_middle_income,True
China,Argentina,2024,2709,17790061.0,30000000.0,5.4707238971377446e-05,18898.97184254646,0.04,importer_default_upper_middle_income,True
China,South Africa,2024,2709,11742517.0,21672500.0,3.611008886616309e-05,11237.048924480525,0.04,importer_default_upper_middle_income,True
China,Albania,2024,2709,1582.0,146.0,4.864899117137323e-09,7040.777075701015,0.04,importer_default_upper_middle_income,True
China,India,2024,2709,685.0,89.0,2.1064828667756422e-09,2983.794863320128,0.04,importer_default_upper_middle_income,True
China,Bahrain,2024,2709,386.0,16.0,1.1870107833217487e-09,5163.880558469188,0.04,importer_default_upper_middle_income,True
Colombia,USA,2024,2709,323876319.96,514984722.07,0.70407348137572,4222.305262761185,0.04,importer_default_upper_middle_income,True
Colombia,Nigeria,2024,2709,84799530.19,137362351.2,0.1843453712431726,9157.648193165262,0.04,importer_default_upper_middle_income,True
Colombia,Guyana,2024,2709,51322360.0,83937498.0,0.1115694802327035,1703.22704110074,0.04,importer_default_upper_middle_income,True
Colombia,"Areas, nes",2024,2709,2035.04,113.4,4.423965598089432e-06,,0.04,importer_default_upper_middle_income,True
Colombia,Ecuador,2024,2709,2011.88,131.65,4.373618163517261e-06,832.5841340348943,0.04,importer_default_upper_middle_income,True
